,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<<<,,,,<<<,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Curve represent the effective value increase in the next 30 upgrades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ↓ Health Lab PATH  ↓,The Effective Health Lab Path (0.24.5) (Time focused),,,,,, ↓ Health WS+ PATH  ↓,The Effective Health WS+ Path (0.24.5) (100B Coin),,,,,, ↓ Regen PATH  ↓,The Effective Wall Regen Lab Path (0.24.5) (Time focused),,,,,,,Total eHP Lab Time,,Modules,,,,,,Perks,,,TRUE,,Stats/Formulas,,Lab,,,,Workshop ($),,Workshop+,,,Relics,Vault,,LAB PATH UPDATE RUNNING,,,,,,,,,,,,eHP Calculation,,,,,,,,,,eHP SIMULATIONS,,,,,,,,,,,,TIME USAGE VS eHP GAIN,,,,,,,,,,,,LAB PATH UPDATE MATRIX,,,,,,,,,,
,,,1.5,,Lab,Level,Duration,EHP progress / day,EHP after this upgrade,Running Time,,Lab,Level,Coin Cost,RoI / 100B Coins,EHP after this upgrade,,,Lab,Level,Duration,WRegen progress / day,WRegen after this upgrade,,,1y 152d 16h  9m+,,,,,,,,Name,Quantity,Value,Active,,,,Current,Target,Max,Value,Current,Value,Current,Max,Value,,,,Health,Defense %,Defense Absolute,Wall Health,Wall Fortification,Recovery Package Max,Standard Perks Bonus,Improve Trade-Off Perks,Chrono Field Reduction %,Death Wave Health,Chain Thunder,,Health,Defense %,Defense Absolute,Wall Fortification,Recovery Package Max,Chrono Field Reduction %,Death Wave Health,Chain Thunder,eHP,,Health,Defense %,Defense Absolute,Wall Health,Wall Fortification,Recovery Package Max,Standard Perks Bonus,Improve Trade-Off Perks,Chrono Field Reduction %,Death Wave Health,Chain Thunder,,Health,Defense %,Defense Absolute,Wall Health,Wall Fortification,Recovery Package Max,Standard Perks Bonus,Improve Trade-Off Perks,Chrono Field Reduction %,Death Wave Health,Chain Thunder,,Health,Defense %,Defense Absolute,Wall Health,Wall Fortification,Recovery Package Max,Standard Perks Bonus,Improve Trade-Off Perks,Chrono Field Reduction %,Death Wave Health,Chain Thunder
,,,,,,,,,,x1.5,,,,,,,,,,,,,,x1,,Current eHP,,Armor,x1.012,,,,,Health,5,x2.00,TRUE,,,Health,0,,100,x1.00,2000,7.54E+07,0,300,x1.00,0%,-,,0,0,0,0,0,0,0,0,0,0,0,,2.75E+07,x4,1.41E+06,,,x1.000,500%,x1.000,1.133E+09,,1.167E+09,1.143E+09,1.134E+09,,,,1.154E+09,1.145E+09,,1.189E+09,,,18326.324844%,19.758575%,187.960870%,,,,26.636738%,0.970344%,,5.939169%,,,1,,,,,,,,,,
,,,0:00:09,,Health,lvl 1,0d  0h  0m,27489.487 267%,1.17 B,0d  0h  0m,,,,,,,,,Health Regen,lvl 1,0d  0h  0m,18514.285 714%,4.1 M,0d  0h  0m,,1.13 B,,Defense %,1%,,,,,Health Regen,5,x4.75,TRUE,,,Health Regen,0,,100,x1.00,1500,7.48E+06,0,300,x1.00,0%,0%,,1,0,0,0,0,0,0,0,0,0,0,,2.83E+07,x4,1.41E+06,,,x1.000,500%,x1.000,1.167E+09,,1.201E+09,1.177E+09,1.167E+09,,,,1.188E+09,1.179E+09,,1.225E+09,,,648.878531%,19.758575%,182.540258%,,,,26.636738%,0.970344%,,5.940926%,,,1,,,,,,,,,,
,,,0:04:16,,Health,lvl 2,0d  0h  4m,973.317 796%,1.2 B,0d  0h  4m,,,,,,,,,Health Regen,lvl 2,0d  0h  6m,655.339 806%,4.22 M,0d  0h  6m,,,,Defense Absolute,15%,,,,,Extra Defense,5,20%,TRUE,,,Defense %,0,,50,0.00%,99,49.50%,-,,,-,-,,2,0,0,0,0,0,0,0,0,0,0,,2.91E+07,x4,1.41E+06,,,x1.000,500%,x1.000,1.201E+09,,1.234E+09,1.210E+09,1.201E+09,,,,1.223E+09,1.213E+09,,1.260E+09,,,246.122939%,19.758575%,177.423532%,,,,26.636738%,0.970344%,,5.942584%,,,1,,,,,,,,,,
,,,0:10:56,,Health,lvl 3,0d  0h 10m,369.184 409%,1.23 B,0d  0h 15m,,,,,,,,,Health Regen,lvl 3,0d  0h 16m,248.504 372%,4.34 M,0d  0h 23m,,Total Wall Regen Lab Time,,Wall Health,0%,,,,,Absolute Defense,5,x1.75,TRUE,,,Defense Absolute,0,,100,x1.00,1000,5.39E+05,0,300,x1.00,0%,0%,,3,0,0,0,0,0,0,0,0,0,0,,3.00E+07,x4,1.41E+06,,,x1.000,500%,x1.000,1.234E+09,,1.268E+09,1.244E+09,1.235E+09,,,,1.257E+09,1.247E+09,,1.295E+09,,,124.514517%,19.758575%,172.585836%,,,,26.636738%,0.970344%,,5.944152%,,,,,1,,,,,,,,
,,,0:00:09,,Defense Absolute,lvl 1,0d  0h  0m,258.878 754%,1.23 B,0d  0h 15m,,,,,,,,,Health Regen,lvl 4,0d  0h 31m,125.686 134%,4.46 M,0d  0h 54m,,,,Health Regen,0%,,,,,E. Dmg -50% / Dmg -50%,,-50%,TRUE,,,Wall Health,0,,50,0.00%,200,40.00%,0,300,x1.00,-,-,,3,0,1,0,0,0,0,0,0,0,0,,3.00E+07,x4,1.45E+06,,,x1.000,500%,x1.000,1.235E+09,,1.268E+09,1.245E+09,1.235E+09,,,,1.257E+09,1.247E+09,,1.296E+09,,,124.479706%,19.758575%,6.290433%,,,,26.636738%,0.970344%,,5.942490%,,,1,,,,,,,,,,
,,,0:21:01,,Health,lvl 4,0d  0h 21m,186.719 559%,1.27 B,0d  0h 36m,,,,,,,,,Health Regen,lvl 5,0d  0h 52m,73.121 192%,4.57 M,0d  1h 47m,,6y 175d  2h  3m+,,,,,,,,E. HP -50% / Rgn & Lifesteal -90%,,-50%,TRUE,,,Wall Fortification,0,,60,x0.0,,,,,,,,,4,0,1,0,0,0,0,0,0,0,0,,3.08E+07,x4,1.45E+06,,,x1.000,500%,x1.000,1.268E+09,,1.302E+09,1.279E+09,1.269E+09,,,,1.291E+09,1.281E+09,,1.331E+09,,,72.437945%,19.758575%,6.123513%,,,,26.636738%,0.970344%,,5.944018%,,,1,,,,,,,,,,
,,,0:35:10,,Health,lvl 5,0d  0h 35m,108.656 918%,1.3 B,0d  1h 11m,,,,,,,,,Wall Regen,lvl 2,1d  9h 21m,71.964 018%,9.15 M,1d 11h  8m,,Current Wall Regen / sec,,Generator,-,,,,,x1.8 Coin / Health -70%,,x1.80,TRUE,,,Wall Regen,0,,30,0.00%,,,,,,,,,5,0,1,0,0,0,0,0,0,0,0,,3.16E+07,x4,1.45E+06,,,x1.000,500%,x1.000,1.302E+09,,1.336E+09,1.313E+09,1.302E+09,,,,1.326E+09,1.315E+09,,1.366E+09,,,46.529100%,19.758575%,5.965224%,,,,26.636738%,0.970344%,,5.945468%,,,1,,,,,,,,,,
,,,0:53:20,,Health,lvl 6,0d  0h 53m,69.793 651%,1.34 B,0d  2h  5m,,,,,,,,,Health Regen,lvl 6,0d  1h 20m,46.956 522%,9.39 M,1d 12h 28m,,,,Max Recovery,0,,,,,Regen x8 / Health -60%,,x8.00,TRUE,,,Max Recovery,0,,20,0%,99,x4.5,0,200,x1.00,,,,6,0,1,0,0,0,0,0,0,0,0,,3.24E+07,x4,1.45E+06,,,x1.000,500%,x1.000,1.336E+09,,1.369E+09,1.347E+09,1.336E+09,,,,1.360E+09,1.349E+09,,1.402E+09,,,31.280451%,19.758575%,5.814911%,,,,26.636738%,0.970344%,,5.946844%,,,1,,,,,,,,,,
,,,1:17:20,,Health,lvl 7,0d  1h 17m,46.920 676%,1.37 B,0d  3h 22m,,,,,,,,,Health Regen,lvl 7,0d  1h 56m,31.560 491%,9.63 M,1d 14h 24m,,3.98 M,,,,,,,,,,,,,,Standard Perk Bonus,0,,25,0.00%,,,,,,,,,7,0,1,0,0,0,0,0,0,0,0,,3.33E+07,x4,1.45E+06,,,x1.000,500%,x1.000,1.369E+09,,1.403E+09,1.380E+09,1.370E+09,,,,1.394E+09,1.383E+09,,1.437E+09,,,22.260046%,19.758575%,5.671988%,,,,26.636738%,0.970344%,,5.948152%,,,,,,,,,1,,,,
,,,1:06:00,,Standard Perks Bonus,lvl 1,0d  1h  6m,39.955 107%,1.39 B,0d  4h 28m,,,,,,,,,Wall Regen,lvl 3,1d 15h 16m,30.560 272%,14.44 M,3d  5h 40m,,,,,,Total Value,Base Value,Math Value,,Cards,,,TRUE,,,Improved Trade-Off Perks,0,,10,0.00%,,"Here is a little epitaph
So we can all remind of
1410c's amazing initial sheet
That I used to make that table here",,,,,,,7,0,1,0,0,0,1,0,0,0,0,,3.36E+07,x4,1.47E+06,,,x1.000,500%,x1.000,1.394E+09,,1.429E+09,1.406E+09,1.395E+09,,,,1.420E+09,1.408E+09,,1.463E+09,,,22.260046%,19.922546%,5.671988%,,,,7.882022%,0.970344%,,5.948152%,,,1,,,,,,,,,,
,,,1:46:00,,Health,lvl 8,0d  1h 46m,33.390 069%,1.43 B,0d  6h 14m,,,,,,,,,Health Regen,lvl 8,0d  2h 39m,22.454 390%,14.8 M,3d  8h 19m,,,,Health,,137.42 M,1.374E+07,1.374E+08,,Name,Level,Value,Active,,,Chrono Field ⚠️,0,,30,10.0%,,,,,,,,,8,0,1,0,0,0,1,0,0,0,0,,3.44E+07,x4,1.47E+06,,,x1.000,500%,x1.000,1.429E+09,,1.463E+09,1.440E+09,1.429E+09,,,,1.455E+09,1.443E+09,,1.499E+09,,,16.371760%,19.922546%,5.535921%,,,,7.882022%,0.970344%,,5.949398%,,,,1,,,,,,,,,
,,,0:39:59,,Defense %,lvl 1,0d  0h 39m,29.883 820%,1.44 B,0d  6h 54m,,,,,,,,,Wall Regen,lvl 4,1d 22h 38m,17.155 111%,19.73 M,5d  6h 57m,,,,Health Regen,,39.78 M,1.05E+06,3.978E+07,,Health,Lvl 1,x1.5,TRUE,,,Death Wave Health,0,,30,500%,,,,,,,,,8,1,1,0,0,0,1,0,0,0,0,,3.44E+07,x4,1.47E+06,,,x1.000,500%,x1.000,1.440E+09,,1.475E+09,1.452E+09,1.441E+09,,,,1.467E+09,1.455E+09,,1.512E+09,,,16.371760%,10.856044%,5.535921%,,,,7.912259%,0.970344%,,5.949398%,,,1,,,,,,,,,,
,,,2:20:40,,Health,lvl 9,0d  2h 20m,24.557 640%,1.47 B,0d  9h 15m,,,,,,,,,Health Regen,lvl 9,0d  3h 31m,16.511 237%,20.21 M,5d 10h 28m,,,,Defense %,,75.50%,55.5%,75.5%,,Health Regen,Lvl 1,x1.4,TRUE,,,Chain Thunder ⚠️,0,,30,0%,,,2024 - 2024,,,,,,9,1,1,0,0,0,1,0,0,0,0,,3.53E+07,x4,1.47E+06,,,x1.000,500%,x1.000,1.475E+09,,1.510E+09,1.487E+09,1.475E+09,,,,1.502E+09,1.490E+09,,1.548E+09,,,12.402623%,10.856044%,5.406230%,,,,7.912259%,0.970344%,,5.950586%,,,1,,,,,,,,,,
,,,3:01:20,,Health,lvl 10,0d  3h  1m,18.603 935%,1.51 B,0d 12h 16m,,,,,,,,,Standard Perks Bonus,lvl 1,0d  1h 39m,14.545 455%,20.41 M,5d 12h  7m,,,,Defense Absolute,,1.41 M,8.054E+05,1.409E+06,,Extra Defense,Lvl 1,5%,TRUE,,,,,,,,,,,,,,,,10,1,1,0,0,0,1,0,0,0,0,,3.61E+07,x4,1.47E+06,,,x1.000,500%,x1.000,1.510E+09,,1.544E+09,1.522E+09,1.510E+09,,,,1.537E+09,1.525E+09,,1.584E+09,,,9.610177%,10.856044%,5.282477%,,,,7.912259%,0.970344%,,5.951719%,,,,1,,,,,,,,,
,,,1:14:00,,Defense %,lvl 2,0d  1h 14m,16.284 066%,1.52 B,0d 13h 30m,,,,,,,,,Health Regen,lvl 10,0d  4h 32m,12.505 790%,20.89 M,5d 16h 39m,,,,Wall Health,FALSE,0,0.0%,0.00%,,Fortress,Lvl 1,x1.3,TRUE,,,,,,,,,,,,,,,,10,2,1,0,0,0,1,0,0,0,0,,3.61E+07,x4,1.47E+06,,,x1.000,500%,x1.000,1.522E+09,,1.557E+09,1.535E+09,1.523E+09,,,,1.550E+09,1.538E+09,,1.598E+09,,,9.610177%,7.106374%,5.282477%,,,,7.943006%,0.970344%,,5.951719%,,,1,,,,,,,,,,
,,,3:48:40,,Health,lvl 11,0d  3h 48m,14.415 265%,1.56 B,0d 17h 19m,,,,,,,,,Wall Regen,lvl 5,2d  9h 32m,10.428 737%,26.12 M,8d  2h 11m,,,,Wall Fortification,,0,,x0.0,,,,,,,,,,,,,,,,,,,,,11,2,1,0,0,0,1,0,0,0,0,,3.69E+07,x4,1.47E+06,,,x1.000,500%,x1.000,1.557E+09,,1.592E+09,1.570E+09,1.557E+09,,,,1.586E+09,1.573E+09,,1.634E+09,,,7.618261%,7.106374%,5.164262%,,,,7.943006%,0.970344%,,5.952801%,,,,,,,,,1,,,,
,,,3:42:40,,Standard Perks Bonus,lvl 2,0d  3h 42m,11.914 509%,1.59 B,0d 21h  1m,,,,,,,,,Health Regen,lvl 11,0d  5h 43m,9.688 271%,26.72 M,8d  7h 54m,,,,Wall Regen,,0,,0%,,User Specific Guess,,,,,,,,,,,,,,,,,,,11,2,1,0,0,0,2,0,0,0,0,,3.73E+07,x4,1.48E+06,,,x1.000,500%,x1.000,1.586E+09,,1.621E+09,1.599E+09,1.586E+09,,,,1.615E+09,1.602E+09,,1.664E+09,,,7.618261%,7.166853%,5.164262%,,,,4.575668%,0.970344%,,5.952801%,,,1,,,,,,,,,,
,,,4:42:00,,Health,lvl 12,0d  4h 42m,11.427 391%,1.62 B,1d  1h 43m,,,,,,,,,Health Regen,lvl 12,0d  7h  3m,7.678 771%,27.32 M,8d 14h 57m,,,,Max Recovery,FALSE,0,x0.00,x0.00,,Enemies Attacking Together,,,1,,,,,,,,,,,,,,,,12,2,1,0,0,0,2,0,0,0,0,,3.81E+07,x4,1.48E+06,,,x1.000,500%,x1.000,1.621E+09,,1.657E+09,1.635E+09,1.622E+09,,,,1.651E+09,1.638E+09,,1.702E+09,,,6.132270%,7.166853%,5.051223%,,,,4.575668%,0.970344%,,5.953836%,,,,1,,,,,,,,,
,,Health,1:54:00,,Defense %,lvl 3,0d  1h 54m,10.750 280%,1.63 B,1d  3h 37m,,,,,,,,,Wall Regen,lvl 6,3d  3h 15m,6.378 738%,32.79 M,11d 18h 12m,,,,Standard Perk Bonus,,,,,,CL DMG does % of Total Damage:,,,1%,,,,,,,,,,,,,,,,12,3,1,0,0,0,2,0,0,0,0,,3.81E+07,x4,1.48E+06,,,x1.000,500%,x1.000,1.635E+09,,1.671E+09,1.649E+09,1.635E+09,,,,1.665E+09,1.651E+09,,1.716E+09,,,6.132270%,4.885579%,5.051223%,,,,4.594014%,0.970344%,,5.953836%,,,1,,,,,,,,,,
,,Defense %,5:42:40,,Health,lvl 13,0d  5h 42m,9.198 406%,1.67 B,1d  9h 20m,,,,,,,,,Health Regen,lvl 13,0d  8h 34m,6.179 904%,33.51 M,12d  2h 46m,,,,Improved Trade-Off Perks,,,,,,,,,,,,,,,,,,,,,,,,,13,3,1,0,0,0,2,0,0,0,0,,3.90E+07,x4,1.48E+06,,,x1.000,500%,x1.000,1.671E+09,,1.707E+09,1.685E+09,1.671E+09,,,,1.702E+09,1.688E+09,,1.754E+09,,,5.015401%,4.885579%,4.943026%,,,,4.594014%,0.970344%,,5.954827%,,,,,,,,,,,,1,
,,Defense Absolute,13:19:59,,Death Wave Health,lvl 1,0d 13h 19m,8.932 240%,1.75 B,1d 22h 40m,,,,,,,,,Health Regen,lvl 14,0d 10h 15m,5.053 518%,34.23 M,12d 13h  1m,,,,Chrono Field ⚠️,FALSE,,,,,,,,,,,,,,,,,,,,,,,,13,3,1,0,0,0,2,0,0,1,0,,3.90E+07,x4,1.48E+06,,,x1.000,525%,x1.000,1.754E+09,,1.791E+09,1.769E+09,1.754E+09,,,,1.786E+09,1.771E+09,,1.837E+09,,,5.017203%,4.885579%,4.709335%,,,,4.594014%,0.970344%,,4.001920%,,,1,,,,,,,,,,
,,Chrono Field Reduction %,6:50:00,,Health,lvl 14,0d  6h 50m,7.525 805%,1.79 B,2d  5h 30m,,,,,,,,,Standard Perks Bonus,lvl 2,0d  5h 34m,4.268 690%,34.57 M,12d 18h 35m,,,,Death Wave Health,TRUE,,,,,,,,,,,,,,,,,,,,,,,,14,3,1,0,0,0,2,0,0,1,0,,3.98E+07,x4,1.48E+06,,,x1.000,525%,x1.000,1.791E+09,,1.829E+09,1.807E+09,1.792E+09,,,,1.824E+09,1.809E+09,,1.876E+09,,,4.155227%,4.885579%,4.610542%,,,,4.594014%,0.970344%,,4.002528%,,,,1,,,,,,,,,
,,Standard Perks Bonus,2:48:40,,Defense %,lvl 4,0d  2h 48m,7.328 369%,1.81 B,2d  8h 19m,,,,,,,,,Health Regen,lvl 15,0d 12h  7m,4.184 668%,35.3 M,13d  6h 42m,,,,Chain Thunder ⚠️,FALSE,,,,,,,,,,,,,,,,,,,,,,,,14,4,1,0,0,0,2,0,0,1,0,,3.98E+07,x4,1.48E+06,,,x1.000,525%,x1.000,1.807E+09,,1.845E+09,1.822E+09,1.807E+09,,,,1.840E+09,1.825E+09,,1.892E+09,,,4.155227%,3.342502%,4.610542%,,,,4.612679%,0.970344%,,4.002528%,,,,,,,,,1,,,,
,,Improve Trade-off Perks,6:26:00,,Standard Perks Bonus,lvl 3,0d  6h 26m,6.919 018%,1.84 B,2d 14h 45m,,,,,,,,,Wall Regen,lvl 7,4d  8h 14m,3.837 544%,41.19 M,17d 14h 56m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4,1,0,0,0,3,0,0,1,0,,4.02E+07,x4,1.50E+06,,,x1.000,525%,x1.000,1.840E+09,,1.879E+09,1.856E+09,1.841E+09,,,,1.874E+09,1.859E+09,,1.927E+09,,,4.155227%,3.371694%,4.610542%,,,,3.124017%,0.970344%,,4.002528%,,,,,1,,,,,,,,
,,Recovery Package Max,0:04:16,,Defense Absolute,lvl 2,0d  0h  4m,6.915 813%,1.84 B,2d 14h 49m,,,,,,,,,Health Regen,lvl 16,0d 14h 10m,3.505 071%,42.04 M,18d  5h  6m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,4,2,0,0,0,3,0,0,1,0,,4.02E+07,x4,1.54E+06,,,x1.000,525%,x1.000,1.841E+09,,1.879E+09,1.857E+09,1.841E+09,,,,1.875E+09,1.859E+09,,1.928E+09,,,4.154376%,3.371694%,1.798867%,,,,3.124017%,0.970344%,,4.001708%,,,1,,,,,,,,,,
,,Wall Health,8:04:40,,Health,lvl 15,0d  8h  4m,6.231 564%,1.88 B,2d 22h 53m,,,,,,,,,Health Regen,lvl 17,0d 16h 25m,2.963 369%,42.89 M,18d 21h 31m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,2,0,0,0,3,0,0,1,0,,4.10E+07,x4,1.54E+06,,,x1.000,525%,x1.000,1.879E+09,,1.918E+09,1.896E+09,1.879E+09,,,,1.914E+09,1.898E+09,,1.968E+09,,,3.480220%,3.371694%,1.761913%,,,,3.124017%,0.970344%,,4.002307%,,,,,,,,,,,,1,
,,Wall Fortification,18:54:06,,Death Wave Health,lvl 2,0d 18h 54m,6.003 461%,1.97 B,3d 17h 48m,,,,,,,,,Health Regen,lvl 18,0d 18h 52m,2.527 321%,43.74 M,19d 16h 23m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,2,0,0,0,3,0,0,2,0,,4.10E+07,x4,1.54E+06,,,x1.000,550%,x1.000,1.968E+09,,2.008E+09,1.985E+09,1.968E+09,,,,2.004E+09,1.988E+09,,2.057E+09,,,3.481342%,3.371694%,1.682368%,,,,3.124017%,0.970344%,,2.937462%,,,1,,,,,,,,,,
,,Chain Thunder,9:26:40,,Health,lvl 16,0d  9h 26m,5.222 013%,2.01 B,4d  3h 14m,,,,,,,,,Standard Perks Bonus,lvl 3,0d  9h 39m,2.438 281%,44.17 M,20d  2h  2m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,2,0,0,0,3,0,0,2,0,,4.19E+07,x4,1.54E+06,,,x1.000,550%,x1.000,2.008E+09,,2.049E+09,2.026E+09,2.009E+09,,,,2.046E+09,2.029E+09,,2.099E+09,,,2.943711%,3.371694%,1.648493%,,,,3.124017%,0.970344%,,2.937865%,,,,1,,,,,,,,,
,,Death Wave Health,4:08:40,,Defense %,lvl 5,0d  4h  8m,5.057 541%,2.03 B,4d  7h 23m,,,,,,,,,Wall Regen,lvl 8,6d  6h 21m,2.280 393%,50.48 M,26d  8h 23m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,5,2,0,0,0,3,0,0,2,0,,4.19E+07,x4,1.54E+06,,,x1.000,550%,x1.000,2.026E+09,,2.067E+09,2.044E+09,2.026E+09,,,,2.064E+09,2.046E+09,,2.117E+09,,,2.943711%,2.323668%,1.648493%,,,,3.137118%,0.970344%,,2.937865%,,,,,,,,,1,,,,
,,,9:29:20,,Standard Perks Bonus,lvl 4,0d  9h 29m,4.705 676%,2.06 B,4d 16h 52m,,,,,,,,,Health Regen,lvl 19,0d 21h 31m,2.172 885%,51.47 M,27d  5h 54m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,5,2,0,0,0,4,0,0,2,0,,4.23E+07,x4,1.55E+06,,,x1.000,550%,x1.000,2.064E+09,,2.105E+09,2.082E+09,2.064E+09,,,,2.102E+09,2.084E+09,,2.157E+09,,,2.943711%,2.344322%,1.648493%,,,,2.264740%,0.970344%,,2.937865%,,,1,,,,,,,,,,
